W1;W2;RENUM;UMUR
10569;82374;115956;15
10569;78932;115971;13
10569;75207;115962;13
10569;75198;115965;13
10569;47840;115959;6
10569;41860;115952;6
10569;3639;115980;8
10569;3639;115980;0
11183;267681;142995;14
11183;237101;142974;7
11183;224986;142989;8
11183;224986;142989;6
11183;218152;142992;12
11183;218152;142992;4
11184;264100;50949;14
11184;256133;50964;11
11184;184516;50967;5
11184;184516;50967;1
11184;150948;50958;12
11184;150948;50958;4
11184;150948;50958;0
11184;92158;50970;17
11297;148650;193113;5
11297;82370;193089;11
11297;82370;193089;14
11297;75202;193095;12
11297;63029;193107;9
11297;41855;193098;5
11297;12579;193110;2
11854;295592;143013;11
11854;175161;143010;14
11854;75199;143028;12
11854;53199;143022;7
11854;53198;143031;7
11854;47831;143004;6
12150;301260;115983;5
12150;224992;115986;5
12150;210809;116010;3
12150;202793;116001;13
12150;202793;116001;10
12150;202793;116001;2
12150;199230;116004;16
12150;199230;116004;1
12150;35516;115998;8
12150;35516;115998;4
12150;21010;115995;13
12150;21010;115995;2
12355;247173;108838;15
12355;247173;108838;10
12355;231318;108832;6
12355;202795;108826;11
12355;202795;108826;2
12355;85606;108820;15
12355;12582;108835;5
12355;12582;108835;1
12553;308521;190907;11
12553;308521;190907;2
12553;308521;190907;2
12553;274557;190919;16
12553;161758;190910;6
12553;161758;190910;0
12553;63025;190913;16
12553;63025;190913;9
12553;28686;190931;9
12553;28686;190931;3
12553;3635;190934;3
12553;3635;190934;0
12864;78931;297618;14
12864;67291;297621;10
12864;21896;297627;2
12864;427;297642;0
13096;325110;143055;16
13096;264097;143061;13
13096;92154;143040;7
13096;92154;143040;17
13096;41854;143043;5
13344;271228;158354;15
13344;194052;158372;1
13344;47836;158378;7
13344;47833;158381;12
13344;47833;158381;8
13344;47833;158381;6
13892;210807;40297;3
13892;103487;40288;5
13892;103487;40288;0
13892;78930;40276;14
14240;321704;40322;12
14240;321704;40322;4
14240;188674;40328;0
14240;78929;40319;13
14240;67289;40310;10
14240;47838;40316;17
14240;47838;40316;6
14240;35513;40325;4
15024;277988;116013;17
15024;260200;116037;12
15024;138494;116031;16
15024;138494;116031;6
15024;3638;116028;12
15024;3638;116028;1
15024;669;116019;10
15024;669;116019;0
15964;260190;263147;17
15964;260190;263147;12
15964;247169;263129;16
15964;247169;263129;9
15964;207403;263123;6
15964;207403;263123;2
15964;165114;263144;16
15964;157879;263141;17
15964;12571;263132;3
15964;12571;263132;1
15964;696;263138;3
15964;696;263138;0
16797;292053;5426;13
16797;292053;5426;0
16797;292053;5426;0
16797;237096;5429;7
16797;214540;5407;12
16797;214540;5407;3
16797;78923;5420;14
16797;63020;5404;10
16797;21004;5417;9
16797;21004;5417;2
16797;12572;5423;12
16797;12572;5423;1
17573;321473;309782;17
17573;260197;309776;12
17573;231306;309773;14
17573;231306;309773;6
17573;169393;309780;17
17573;169393;309780;13
17573;169393;309780;3
17573;53202;309778;8
17573;28688;309781;15
17573;28688;309781;4
17574;317200;50982;1
17574;271227;50985;15
17574;271226;50976;15
17574;173992;50994;5
17574;141452;50988;2
17574;28692;50997;14
17574;28692;50997;3
18617;231316;4208;6
18617;224994;4205;5
18617;207442;4214;13
18617;207442;4214;2
18617;39113;4196;10
18617;39113;4196;8
18617;39113;4196;4
19489;264102;20774;14
19489;172492;20750;8
19489;130102;20768;12
19489;75208;20765;12
19489;47841;20777;6
20051;260191;263168;12
20051;218144;263180;9
20051;218144;263180;5
20051;194047;263171;9
20051;194047;263171;2
20051;178972;263165;12
20051;178972;263165;3
20051;85602;263162;15
20051;53196;263174;7
21030;218151;185220;4
21030;177373;185229;1
21030;67282;185232;10
21030;63026;185217;10
21030;32496;185223;12
21030;32496;185223;3
21031;260194;51012;17
21031;260194;51012;12
21031;237107;51018;7
21031;231309;51030;6
21031;144180;51024;16
21031;144180;51024;12
21031;92159;51015;17
21031;63030;51027;9
21435;237104;257341;14
21435;237104;257341;7
21435;184513;257320;5
21435;184513;257320;4
21435;184513;257320;1
21435;147840;257344;6
21435;85603;257326;15
21435;67285;257338;7
21435;67285;257338;10
21435;67283;257317;11
21435;12577;257323;7
21435;12577;257323;1
21436;274561;51039;16
21436;251771;51060;10
21436;241824;51057;9
21436;231312;51045;17
21436;231312;51045;6
21436;231311;51063;10
21436;231311;51063;7
21436;224988;51054;5
21436;67288;51051;11
21436;67288;51051;10
21436;67287;51042;10
21436;41858;51036;5
21437;242283;40364;8
21437;147841;40355;17
21437;88844;40352;16
21437;82373;40361;14
21437;67290;40346;10
21437;47837;40358;7
21437;47837;40358;6
21437;35514;40343;15
21437;35514;40343;4
21438;299704;108865;12
21438;299704;108865;1
21438;267684;108844;14
21438;264103;108868;14
21438;211084;108850;13
21438;211084;108850;4
21438;163155;108862;15
21438;106670;108853;13
21438;82377;108856;9
21438;82377;108856;14
21438;67293;108841;10
21438;3640;108847;0
22230;277986;214809;17
22230;75205;214821;16
22230;75205;214821;12
22230;75203;214812;13
22230;67286;214803;12
22230;67286;214803;10
22230;35511;214806;5
22941;289636;5455;11
22941;256124;5449;11
22941;251765;5452;10
22941;202784;5441;15
22941;202784;5441;2
22941;82369;5446;14
22941;47827;5458;10
22941;47827;5458;6
23242;277982;169410;17
23242;202782;169404;2
23242;85601;169413;15
23242;67277;169422;10
23242;39124;169398;16
23242;39124;169398;11
23242;39124;169398;4
24203;210811;116046;15
24203;210811;116046;4
24203;160894;116055;13
24203;160894;116055;1
24203;150396;116061;3
24203;136024;116067;15
24203;63031;116049;9
24806;237108;40373;8
24806;35515;40394;4
24806;3636;40388;0
26534;240010;257359;7
26534;147589;257365;14
26534;147589;257365;1
26534;85604;257350;16
26627;324469;190961;12
26627;210801;190946;8
26627;210801;190946;4
26627;166533;190964;17
26627;63024;190952;9
26627;43216;190958;11
26627;43216;190958;5
26627;16686;190937;1
26793;210804;309786;3
26793;47834;309791;7
26793;35510;309784;4
26793;35509;309787;4
26793;21008;309783;2
26793;12578;309788;2
26952;317284;116088;7
26952;317284;116088;2
26952;294260;116082;10
26952;247172;116079;9
26952;210810;116100;3
26952;172056;116076;11
26952;164044;116094;10
27392;284098;260609;1
27392;210799;260621;4
27392;168849;260636;2
27392;104593;260618;8
27392;75197;260615;12
27392;67279;260630;10
27392;63021;260612;9
27547;295538;51072;15
27547;264099;51087;13
27547;169371;51090;5
27547;82372;51075;14
27547;58195;51081;8
27760;264095;169443;13
27760;256123;169437;12
27760;251764;169428;10
27760;247166;169425;9
27760;237094;169449;16
27760;237094;169449;7
27760;206799;169452;15
27760;206799;169452;2
27760;82368;169446;14
27760;82368;169446;14
28263;256125;5467;11
28263;247167;5486;11
28263;247167;5486;9
28263;71314;5477;12
28263;58193;5464;9
28263;35503;5470;4
28381;322506;169464;9
28381;188580;169455;0
28381;175691;169476;12
28381;175691;169476;1
28381;135754;169473;2
28381;63018;169461;9
28381;47826;169458;17
28381;47826;169458;6
28705;224985;260663;9
28705;224985;260663;5
28705;199092;260642;6
28705;199092;260642;1
28705;78925;260654;17
28705;78925;260654;13
28705;63023;260657;17
28705;63023;260657;9
28705;63022;260645;17
28705;63022;260645;12
28705;63022;260645;9
28705;9244;260666;2
28705;9244;260666;0
28748;288529;297669;17
28748;264101;297654;13
28748;256134;297645;11
28748;231313;297648;6
28748;194053;297672;12
28748;194053;297672;1
28748;170382;297651;12
28748;3637;297657;0
28774;242285;108898;15
28774;242285;108898;8
28774;237109;108892;8
28774;224995;108883;12
28774;224995;108883;5
29122;324189;4235;0
29122;231317;4220;6
29122;194055;4226;15
29122;194055;4226;1
29122;184519;4247;10
29122;184519;4247;0
29122;88845;4229;16
29122;47842;4232;6
29122;12581;4238;1
29122;6863;4244;11
29122;6863;4244;0
29332;277987;297675;17
29332;210808;297699;10
29332;210808;297699;3
29332;162183;297696;4
29332;47839;297702;6
29332;8038;297693;16
29332;8038;297693;0
29526;324606;169512;9
29526;300256;169491;16
29526;300256;169491;2
29526;231301;169485;6
29526;162367;169500;5
29526;85600;169497;15
29526;41850;169488;5
29526;28681;169494;3
29946;301889;111526;5
29946;301889;111526;3
29946;218149;111514;4
29946;202786;111541;17
29946;202786;111541;5
29946;202786;111541;2
29946;142557;111535;16
29946;142557;111535;8
29946;92153;111529;17
29946;58194;111520;12
29946;58194;111520;8
30401;224989;51105;16
30401;224989;51105;5
30401;210805;51114;4
30401;210805;51114;4
30401;155036;51111;7
30401;58196;51099;9
30555;218147;260720;11
30555;218147;260720;4
30555;210797;260717;12
30555;210797;260717;3
30555;206671;260714;2
30555;21005;260711;11
30555;21005;260711;2
30555;487;260726;9
30555;487;260726;7
30555;487;260726;3
30555;487;260726;0
30567;318531;260672;17
30567;224984;260693;16
30567;224984;260693;5
30567;156734;260681;16
30567;71315;260678;16
30567;71315;260678;11
30568;251774;4250;10
30568;221846;4256;5
30568;176880;4262;7
30568;176880;4262;7
30568;71322;4259;12
30568;24804;4274;2
30907;160189;260741;6
30907;97047;260735;11
30907;97047;260735;4
30907;67278;260744;11
30907;35504;260732;13
30907;35504;260732;7
30907;35504;260732;4
30907;25048;260747;11
30907;25048;260747;7
30907;25048;260747;3
31047;274560;309798;16
31047;251768;309801;15
31047;251768;309801;10
31047;237105;309799;16
31047;237105;309799;9
31047;237105;309799;8
31047;63027;309794;9
31047;7149;309802;8
31047;7149;309802;0
31048;260201;20807;17
31048;260201;20807;12
31048;251773;20792;17
31048;251773;20792;10
31048;242284;20798;8
31048;41861;20789;5
31121;274556;190985;16
31121;242276;190973;8
31121;184512;190991;10
31121;184512;190991;0
31121;88838;190967;16
31121;71319;190988;11
31121;67281;190970;11
31121;53197;190979;8
31121;53197;190979;7
31296;324220;143082;13
31296;324220;143082;2
31296;267680;143088;14
31296;175274;143079;15
31296;154899;143091;16
31296;12576;143070;1
31296;12575;143076;1
31304;267683;309811;14
31304;234489;309808;5
31304;234489;309808;7
31304;163828;309809;2
31304;153185;309805;8
31304;71321;309812;11
31304;7352;309803;0
31970;324167;309817;12
31970;324167;309817;11
31970;174328;309821;8
31970;174328;309821;2
31970;170401;309815;3
31970;53201;309822;7
31970;28689;309814;12
31970;28689;309814;3
31970;21007;309820;17
31970;21007;309820;2
31976;296406;214836;6
31976;242280;214833;9
31976;170474;214848;9
31976;148433;214851;11
31976;148433;214851;2
31976;127733;214839;3
31976;35512;214827;12
31976;35512;214827;4
32683;321205;193140;12
32683;321205;193140;5
32683;224987;193128;16
32683;224987;193128;5
32683;202792;193137;4
32683;202792;193137;2
32683;202791;193131;13
32683;202791;193131;3
32683;177639;193119;17
32683;177639;193119;10
32683;82371;193143;16
32683;82371;193143;14
32683;28690;193125;12
32683;28690;193125;3
32683;7055;193122;0
32753;237102;191015;16
32753;237102;191015;7
32753;71318;191018;12
32753;67280;191003;10
32753;47830;191000;6
32834;271220;263183;15
32834;231302;263207;17
32834;231302;263207;8
32834;231302;263207;6
32834;218145;263201;4
32834;202783;263192;11
32834;202783;263192;2
32834;82366;263210;14
32834;63019;263204;9
32834;8671;263198;12
32834;8671;263198;5
32834;8671;263198;3
32834;8671;263198;0
32935;256128;185244;11
32935;137191;185253;3
32935;41853;185238;5
32935;28687;185259;12
32935;28687;185259;8
32935;28687;185259;3
